'년월'	'출발지(야간체류지) 시군코드'	'출발지역명'	'도착지 시군코드'	'도착지역명'	'10대남성 유입인구'	'20대남성 유입인구'	'30대남성 유입인구'	'40대남성 유입인구'	'50대남성 유입인구'	'60대남성 유입인구'	'70대남성 유입인구'	'10대여성 유입인구'	'20대여성 유입인구'	'30대여성 유입인구'	'40대여성 유입인구'	'50대여성 유입인구'	'60대여성 유입인구'	'70대여성 유입인구'
'202001 '	'28260'	'인천광역시 서구'	'41270'	'경기도 안산시'	'83.68'	'145.26'	'289.67'	'343.73'	'285.21'	'84.82'	'22.5'	'99'	'84.78'	'113.9'	'113.71'	'83.81'	'27.27'	'17.82'
'202001 '	'28710'	'인천광역시 강화군'	'41270'	'경기도 안산시'	'11.89'	'6.39'	'5.78'	'10.42'	'19.36'	'10.61'	'2.74'	'4.54'	'11'	'2.47'	'7.57'	'14.01'	'7.63'	'3.31'
'202001 '	'28720'	'인천광역시 옹진군'	'41270'	'경기도 안산시'	'15.61'	'53.39'	'22.01'	'30.3'	'47.8'	'30.68'	'17.09'	'10.89'	'9.47'	'32.07'	'20.32'	'43.06'	'24.32'	'24.05'
'202001 '	'29110'	'광주광역시 동구'	'41270'	'경기도 안산시'	'2.45'	'3.27'	'4.77'	'1.43'	'5.89'	'3.48'	'0.57'	'3.98'	'4.81'	'2.11'	'1.55'	'3.69'	'1.46'	'0.62'
'202001 '	'29140'	'광주광역시 서구'	'41270'	'경기도 안산시'	'11.73'	'10.4'	'12.13'	'14.6'	'20.09'	'3.82'	'1.86'	'9.2'	'10.2'	'6.68'	'10.62'	'6.37'	'6.5'	'2.24'
'202001 '	'41280'	'경기도 고양시'	'41270'	'경기도 안산시'	'129.46'	'132.68'	'224.02'	'346.84'	'301.81'	'104.1'	'38.44'	'97.49'	'112.26'	'119.5'	'146.19'	'104.52'	'42.84'	'25.91'
'202001 '	'41290'	'경기도 과천시'	'41270'	'경기도 안산시'	'19.27'	'55.05'	'46.51'	'125.95'	'118.03'	'38.68'	'14.3'	'17.99'	'23.25'	'35.58'	'76.96'	'54.75'	'20.41'	'7.67'
'202001 '	'41310'	'경기도 구리시'	'41270'	'경기도 안산시'	'11.17'	'21.5'	'41.88'	'45.89'	'43.29'	'16.78'	'3.01'	'16.09'	'12.61'	'15.49'	'17.6'	'16.87'	'5.77'	'4.64'
'202001 '	'41360'	'경기도 남양주시'	'41270'	'경기도 안산시'	'71.43'	'71.56'	'135.73'	'187.58'	'142.4'	'64.07'	'13.06'	'69.43'	'40.93'	'67.95'	'74.12'	'57.72'	'25.43'	'14.91'
'202001 '	'30170'	'대전광역시 서구'	'41270'	'경기도 안산시'	'22.03'	'41.58'	'48.26'	'46.73'	'50.04'	'16.62'	'3.13'	'22.65'	'44.42'	'24.75'	'25.14'	'17.09'	'7.5'	'6.05'
'202001 '	'30200'	'대전광역시 유성구'	'41270'	'경기도 안산시'	'37.93'	'60.28'	'46.75'	'40.26'	'40.88'	'7.08'	'1.71'	'19.51'	'32.87'	'25.09'	'14.66'	'11.61'	'6.38'	'5.48'
'202001 '	'30230'	'대전광역시 대덕구'	'41270'	'경기도 안산시'	'13'	'19.94'	'19.44'	'24.83'	'24.24'	'13.06'	'2.68'	'18.05'	'15.76'	'10.85'	'7.78'	'10.91'	'3.36'	'4.54'
'202001 '	'31110'	'울산광역시 중구'	'41270'	'경기도 안산시'	'2.8'	'8.17'	'9.14'	'8.42'	'8.95'	'2.91'	'0.56'	'4.74'	'5.44'	'6.46'	'2.75'	'4.21'	'1.11'	'0.65'
'202001 '	'31140'	'울산광역시 남구'	'41270'	'경기도 안산시'	'9.52'	'13.84'	'11.11'	'11.93'	'16.88'	'5.27'	'1.01'	'17.09'	'7.68'	'2.52'	'7.94'	'4.2'	'2.34'	'0.39'
'202001 '	'31170'	'울산광역시 동구'	'41270'	'경기도 안산시'	'1.54'	'15.49'	'7.75'	'4.1'	'6.55'	'3.66'	'0.73'	'5.63'	'3.03'	'4.94'	'4.17'	'4.21'	'0.95'	'0.9'
'202001 '	'31200'	'울산광역시 북구'	'41270'	'경기도 안산시'	'3.81'	'11.27'	'7.67'	'6.68'	'6.36'	'3.1'	'0.76'	'1.64'	'2.86'	'4.45'	'2.15'	'4.78'	'1.97'	'0.48'
'202001 '	'31710'	'울산광역시 울주군'	'41270'	'경기도 안산시'	'17.78'	'10.89'	'12.97'	'17.06'	'19.49'	'4.62'	'0.21'	'3.9'	'2.32'	'2.63'	'4.3'	'4.1'	'2.92'	'0.59'
'202001 '	'36110'	'세종특별자치시'	'41270'	'경기도 안산시'	'15.72'	'38.47'	'53.61'	'53.55'	'34.19'	'13.06'	'10.23'	'19.85'	'33.34'	'28.15'	'22.78'	'15.63'	'8.08'	'9.03'
'202001 '	'41110'	'경기도 수원시'	'41270'	'경기도 안산시'	'548.61'	'980.43'	'2054.97'	'2309.91'	'2009.53'	'606.75'	'152.04'	'523.95'	'706.89'	'1041.47'	'1176.75'	'999.74'	'285.18'	'150.57'
'202001 '	'41170'	'경기도 안양시'	'41270'	'경기도 안산시'	'289.46'	'695.35'	'1234.56'	'1365.15'	'1391.26'	'546'	'124.31'	'279.68'	'489.13'	'580.95'	'805.39'	'677.96'	'218.81'	'113.35'
'202001 '	'41190'	'경기도 부천시'	'41270'	'경기도 안산시'	'190.65'	'461.78'	'842.81'	'898.18'	'990.75'	'342.3'	'67.75'	'168.23'	'272.32'	'275.82'	'320.19'	'366.04'	'113.2'	'61.53'
'202001 '	'41210'	'경기도 광명시'	'41270'	'경기도 안산시'	'151.14'	'247.22'	'525'	'546.99'	'514.31'	'235.87'	'49.57'	'124.17'	'139.61'	'189.31'	'184.99'	'198.29'	'86.27'	'44.2'
'202001 '	'41480'	'경기도 파주시'	'41270'	'경기도 안산시'	'44.46'	'71.79'	'100.37'	'122.25'	'108.39'	'33.03'	'8.1'	'41.31'	'60.94'	'47.9'	'50.7'	'37.3'	'15.08'	'8.97'
'202001 '	'41500'	'경기도 이천시'	'41270'	'경기도 안산시'	'32.44'	'67.5'	'74.03'	'69.96'	'61.2'	'21.04'	'5.54'	'24.76'	'46.08'	'45.25'	'35.25'	'37.36'	'12.29'	'12.81'
